word,pos
abaft,adjective
abandoned,adjective
abashed,adjective
aberrant,adjective
abhorrent,adjective
abiding,adjective
abject,adjective
ablaze,adjective
able,adjective
abnormal,adjective
aboard,adjective
aboriginal,adjective
abortive,adjective
abounding,adjective
abrasive,adjective
abrupt,adjective
absent,adjective
absorbed,adjective
absorbing,adjective
abstracted,adjective
absurd,adjective
abundant,adjective
abusive,adjective
acceptable,adjective
accessible,adjective
accidental,adjective
accurate,adjective
acid,adjective
acidic,adjective
acoustic,adjective
acrid,adjective
actually,adjective
adamant,adjective
adaptable,adjective
addicted,adjective
adhesive,adjective
adhoc,adjective
adjoining,adjective
adorable,adjective
adventurous,adjective
afraid,adjective
aggressive,adjective
agonizing,adjective
agreeable,adjective
ahead,adjective
ajar,adjective
alcoholic,adjective
alert,adjective
alike,adjective
alive,adjective
alleged,adjective
alluring,adjective
aloof,adjective
amazing,adjective
ambiguous,adjective
ambitious,adjective
amuck,adjective
amused,adjective
amusing,adjective
ancient,adjective
angry,adjective
animated,adjective
annoyed,adjective
annoying,adjective
anxious,adjective
apathetic,adjective
aquatic,adjective
aromatic,adjective
arrogant,adjective
ashamed,adjective
aspiring,adjective
assorted,adjective
astonishing,adjective
attractive,adjective
auspicious,adjective
automatic,adjective
available,adjective
average,adjective
awake,adjective
aware,adjective
awesome,adjective
awful,adjective
axiomatic,adjective
bad,adjective
barbarous,adjective
bashful,adjective
bawdy,adjective
beautiful,adjective
befitting,adjective
belligerent,adjective
beneficial,adjective
bent,adjective
berserk,adjective
best,adjective
better,adjective
bewildered,adjective
big,adjective
billowy,adjective
bite-sized,adjective
bitter,adjective
bizarre,adjective
black,adjective
black-and-white,adjective
bloody,adjective
blue,adjective
blue-eyed,adjective
blushing,adjective
boiling,adjective
boorish,adjective
bored,adjective
boring,adjective
bouncy,adjective
boundless,adjective
brainy,adjective
brash,adjective
brave,adjective
brawny,adjective
breakable,adjective
breezy,adjective
brief,adjective
bright,adjective
broad,adjective
broken,adjective
brown,adjective
bumpy,adjective
burly,adjective
bustling,adjective
busy,adjective
cagey,adjective
calculating,adjective
callous,adjective
calm,adjective
capable,adjective
capricious,adjective
careful,adjective
careless,adjective
caring,adjective
cautious,adjective
ceaseless,adjective
certain,adjective
changeable,adjective
charming,adjective
cheap,adjective
cheerful,adjective
chemical,adjective
chief,adjective
childlike,adjective
chilly,adjective
chivalrous,adjective
chubby,adjective
chunky,adjective
clammy,adjective
classy,adjective
clean,adjective
clear,adjective
clever,adjective
cloistered,adjective
closed,adjective
cloudy,adjective
clumsy,adjective
cluttered,adjective
coherent,adjective
cold,adjective
colorful,adjective
colossal,adjective
combative,adjective
comfortable,adjective
common,adjective
complete,adjective
complex,adjective
concerned,adjective
condemned,adjective
confused,adjective
conscious,adjective
cooing,adjective
cool,adjective
cooperative,adjective
coordinated,adjective
courageous,adjective
cowardly,adjective
crabby,adjective
craven,adjective
crazy,adjective
creepy,adjective
crooked,adjective
crowded,adjective
cruel,adjective
cuddly,adjective
cultured,adjective
cumbersome,adjective
curious,adjective
curly,adjective
curved,adjective
curvy,adjective
cut,adjective
cute,adjective
cynical,adjective
daffy,adjective
daily,adjective
damaged,adjective
damaging,adjective
damp,adjective
dangerous,adjective
dapper,adjective
dark,adjective
dashing,adjective
dazzling,adjective
dead,adjective
deadpan,adjective
deafening,adjective
dear,adjective
debonair,adjective
decisive,adjective
decorous,adjective
deep,adjective
deeply,adjective
defeated,adjective
defective,adjective
defiant,adjective
delicate,adjective
delicious,adjective
delightful,adjective
delirious,adjective
demonic,adjective
dependent,adjective
depressed,adjective
deranged,adjective
descriptive,adjective
deserted,adjective
detailed,adjective
determined,adjective
devilish,adjective
didactic,adjective
different,adjective
difficult,adjective
diligent,adjective
direful,adjective
dirty,adjective
disagreeable,adjective
disastrous,adjective
discreet,adjective
disgusted,adjective
disgusting,adjective
disillusioned,adjective
dispensable,adjective
distinct,adjective
disturbed,adjective
divergent,adjective
dizzy,adjective
domineering,adjective
doubtful,adjective
drab,adjective
draconian,adjective
dramatic,adjective
dreary,adjective
drunk,adjective
dry,adjective
dull,adjective
dusty,adjective
dynamic,adjective
dysfunctional,adjective
eager,adjective
early,adjective
earsplitting,adjective
earthy,adjective
easy,adjective
eatable,adjective
economic,adjective
educated,adjective
efficacious,adjective
efficient,adjective
elastic,adjective
elated,adjective
elderly,adjective
electric,adjective
elegant,adjective
elfin,adjective
elite,adjective
embarrassed,adjective
eminent,adjective
empty,adjective
enchanted,adjective
enchanting,adjective
encouraging,adjective
endurable,adjective
energetic,adjective
enormous,adjective
entertaining,adjective
enthusiastic,adjective
envious,adjective
equable,adjective
equal,adjective
erect,adjective
erratic,adjective
ethereal,adjective
evanescent,adjective
evasive,adjective
even,adjective
excellent,adjective
excited,adjective
exciting,adjective
exclusive,adjective
exotic,adjective
expensive,adjective
extra-large,adjective
extra-small,adjective
exuberant,adjective
exultant,adjective
fabulous,adjective
faded,adjective
faint,adjective
fair,adjective
faithful,adjective
fallacious,adjective
familiar,adjective
famous,adjective
fanatical,adjective
fancy,adjective
fantastic,adjective
far,adjective
far-flung,adjective
fascinated,adjective
fast,adjective
fat,adjective
faulty,adjective
fearful,adjective
fearless,adjective
feeble,adjective
feigned,adjective
female,adjective
fertile,adjective
festive,adjective
few,adjective
fierce,adjective
filthy,adjective
fine,adjective
finicky,adjective
first,adjective
fixed,adjective
flagrant,adjective
flaky,adjective
flashy,adjective
flat,adjective
flawless,adjective
flimsy,adjective
flippant,adjective
flowery,adjective
fluffy,adjective
fluttering,adjective
foamy,adjective
foolish,adjective
foregoing,adjective
forgetful,adjective
fortunate,adjective
fragile,adjective
frail,adjective
frantic,adjective
free,adjective
freezing,adjective
frequent,adjective
fresh,adjective
fretful,adjective
friendly,adjective
frightened,adjective
frightening,adjective
full,adjective
fumbling,adjective
functional,adjective
funny,adjective
furry,adjective
furtive,adjective
future,adjective
futuristic,adjective
fuzzy,adjective
gabby,adjective
gainful,adjective
gamy,adjective
gaping,adjective
garrulous,adjective
gaudy,adjective
general,adjective
gentle,adjective
giant,adjective
giddy,adjective
gifted,adjective
gigantic,adjective
glamorous,adjective
gleaming,adjective
glib,adjective
glistening,adjective
glorious,adjective
glossy,adjective
godly,adjective
good,adjective
goofy,adjective
gorgeous,adjective
graceful,adjective
grandiose,adjective
grateful,adjective
gratis,adjective
gray,adjective
greasy,adjective
great,adjective
greedy,adjective
green,adjective
grey,adjective
grieving,adjective
groovy,adjective
grotesque,adjective
grouchy,adjective
grubby,adjective
gruesome,adjective
grumpy,adjective
guarded,adjective
guiltless,adjective
gullible,adjective
gusty,adjective
guttural,adjective
habitual,adjective
half,adjective
hallowed,adjective
halting,adjective
handsome,adjective
handy,adjective
hanging,adjective
hapless,adjective
happy,adjective
hard,adjective
hard-to-find,adjective
harmonious,adjective
harsh,adjective
hateful,adjective
heady,adjective
healthy,adjective
heartbreaking,adjective
heavenly,adjective
heavy,adjective
hellish,adjective
helpful,adjective
helpless,adjective
hesitant,adjective
hideous,adjective
high,adjective
highfalutin',adjective
high-pitched,adjective
hilarious,adjective
hissing,adjective
historical,adjective
holistic,adjective
hollow,adjective
homeless,adjective
homely,adjective
honorable,adjective
horrible,adjective
hospitable,adjective
hot,adjective
huge,adjective
hulking,adjective
humdrum,adjective
humorous,adjective
hungry,adjective
hurried,adjective
hurt,adjective
hushed,adjective
husky,adjective
hypnotic,adjective
hysterical,adjective
icky,adjective
icy,adjective
idiotic,adjective
ignorant,adjective
ill,adjective
illegal,adjective
ill-fated,adjective
ill-informed,adjective
illustrious,adjective
imaginary,adjective
immense,adjective
imminent,adjective
impartial,adjective
imperfect,adjective
impolite,adjective
important,adjective
imported,adjective
impossible,adjective
incandescent,adjective
incompetent,adjective
inconclusive,adjective
incredible,adjective
industrious,adjective
inexpensive,adjective
infamous,adjective
innate,adjective
innocent,adjective
inquisitive,adjective
insidious,adjective
instinctive,adjective
intelligent,adjective
interesting,adjective
internal,adjective
invincible,adjective
irate,adjective
irritating,adjective
itchy,adjective
jaded,adjective
jagged,adjective
jazzy,adjective
jealous,adjective
jittery,adjective
jobless,adjective
jolly,adjective
joyous,adjective
judicious,adjective
juicy,adjective
jumbled,adjective
jumpy,adjective
juvenile,adjective
kaput,adjective
keen,adjective
kind,adjective
kindhearted,adjective
kindly,adjective
knotty,adjective
knowing,adjective
knowledgeable,adjective
known,adjective
labored,adjective
lackadaisical,adjective
lacking,adjective
lame,adjective
lamentable,adjective
