word,pos
dutifully,adverb
instinctively,adverb
wonderfully,adverb
stupidly,adverb
quickly,adverb
slowly,adverb
beautifully,adverb
tactfully,adverb
scientifically,adverb
melodically,adverb
pitifully,adverb
forcefully,adverb
awfully,adverb
methodically,adverb
abed,adverb
aboard,adverb
abroad,adverb
abstractly,adverb
acceptedly,adverb
accursedly,adverb
acquiescingly,adverb
acrostically,adverb
adamantly,adverb
adjectively,adverb
adoringly,adverb
adverbially,adverb
aeronautically,adverb
affirmingly,adverb
aforetime,adverb
aggravatingly,adverb
agonisingly,adverb
ahorse,adverb
alarmingly,adverb
all,adverb
allopathically,adverb
alongshore,adverb
alright,adverb
amateurishly,adverb
amicably,adverb
amply,adverb
anagogically,adverb
ancestrally,adverb
angelically,adverb
anon,adverb
anticlimactically,adverb
antithetically,adverb
anywise,adverb
apocalyptically,adverb
apostolically,adverb
applicably,adverb
archaeologically,adverb
aright,adverb
artificially,adverb
askew,adverb
assertively,adverb
astoundingly,adverb
asymmetrically,adverb
atomistically,adverb
atweel,adverb
austerely,adverb
autumnally,adverb
awa,adverb
axially,adverb
badly,adverb
banefully,adverb
barehanded,adverb
basically,adverb
beautifully,adverb
behind,adverb
bene,adverb
besiegingly,adverb
betwixt,adverb
bifariously,adverb
biochemically,adverb
blackguardly,adverb
blankly,adverb
blindingly,adverb
bloody,adverb
boiling,adverb
boringly,adverb
brainsickly,adverb
breathlessly,adverb
broadly,adverb
bucolically,adverb
burningly,adverb
calculatingly,adverb
canonically,adverb
capriciously,adverb
cash-and-carry,adverb
categorically,adverb
cavalierly,adverb
centrifugally,adverb
challengingly,adverb
charmlessly,adverb
cheerly,adverb
chirpily,adverb
chronically,adverb
civilly,adverb
cleanly,adverb
cliquishly,adverb
clumsily,adverb
cogently,adverb
coldly,adverb
combatively,adverb
commercially,adverb
comparably,adverb
complaisantly,adverb
compulsorily,adverb
concisely,adverb
confer,adverb
congenially,adverb
conjunctly,adverb
consecutive,adverb
consistently,adverb
consubstantially,adverb
contentiously,adverb
continuously,adverb
contrariwise,adverb
conversably,adverb
cool,adverb
corporeally,adverb
cosmetically,adverb
cousin,adverb
crabwise,adverb
credibly,adverb
crisscross,adverb
crousely,adverb
culpably,adverb
cursorily,adverb
d'accord,adverb
damply,adverb
darned,adverb
dazedly,adverb
deathly,adverb
deceivingly,adverb
decoratively,adverb
defencelessly,adverb
definitively,adverb
deliberately,adverb
dementedly,adverb
denotatively,adverb
deprecatingly,adverb
descriptively,adverb
despicably,adverb
detestably,adverb
deviously,adverb
diagnostically,adverb
dichotomously,adverb
digestedly,adverb
dingily,adverb
disagreeably,adverb
disconcertingly,adverb
discretely,adverb
disgustedly,adverb
disjunctively,adverb
dispersedly,adverb
disputably,adverb
dissentingly,adverb
distastefully,adverb
distrustfully,adverb
divisibly,adverb
doggone,adverb
dooms,adverb
doucely,adverb
downriver,adverb
draftily,adverb
drily,adverb
dryer,adverb
duly,adverb
dynamically,adverb
earnestly,adverb
easy,adverb
edgeways,adverb
effeminately,adverb
eftsoons,adverb
elatedly,adverb
eligibly,adverb
eminently,adverb
end-on,adverb
endwise,adverb
enow,adverb
enviously,adverb
equanimously,adverb
ergo,adverb
especially,adverb
ethnologically,adverb
evangelically,adverb
everlastingly,adverb
evilly,adverb
exceptionably,adverb
excusably,adverb
exiguously,adverb
expectantly,adverb
explosively,adverb
extendedly,adverb
extraordinarily,adverb
facilely,adverb
fairily,adverb
familiarly,adverb
farthest,adverb
fatidically,adverb
fearsomely,adverb
feignedly,adverb
festally,adverb
fiercely,adverb
financially,adverb
first-class,adverb
fivefold,adverb
flat,adverb
fleetly,adverb
flipping,adverb
floutingly,adverb
fondly,adverb
forcibly,adverb
forgetfully,adverb
forrader,adverb
fortuitously,adverb
foursquare,adverb
fragrantly,adverb
free-hand,adverb
frightfully,adverb
frontwards,adverb
fugally,adverb
fulsomely,adverb
furthermore,adverb
gallantly,adverb
gauchely,adverb
genially,adverb
geographically,adverb
ghoulishly,adverb
glacially,adverb
glidingly,adverb
glossarially,adverb
goddam,adverb
goofily,adverb
gramophonically,adverb
gratefully,adverb
greatly,adverb
grinningly,adverb
grubbily,adverb
guessingly,adverb
gyrally,adverb
half-time,adverb
haphazardly,adverb
hardly,adverb
haughtily,adverb
healthfully,adverb
heavily,adverb
helically,adverb
hence,adverb
hereditarily,adverb
hereunto,adverb
hesitatingly,adverb
high-handedly,adverb
histologically,adverb
hoggishly,adverb
homoeopathically,adverb
hopefully,adverb
hortatorily,adverb
hoveringly,adverb
hugger-mugger,adverb
hurriedly,adverb
hydroponically,adverb
hypodermically,adverb
ideally,adverb
idly,adverb
illaudably,adverb
illusively,adverb
immanence,adverb
immitigably,adverb
impartibly,adverb
imperatively,adverb
impersonally,adverb
implicitly,adverb
impotently,adverb
improvably,adverb
in-house,adverb
inanely,adverb
inartificially,adverb
incautiously,adverb
inclusively,adverb
incommunicado,adverb
incongruously,adverb
inconsumably,adverb
incorrigibly,adverb
indecently,adverb
indelibly,adverb
indigenously,adverb
indissolubly,adverb
indubitably,adverb
inefficiently,adverb
inerrably,adverb
inexpensively,adverb
infectiously,adverb
influentially,adverb
ingrately,adverb
initially,adverb
innumerably,adverb
insalubriously,adverb
inseparably,adverb
insistently,adverb
instant,adverb
instructively,adverb
insuppressibly,adverb
intendedly,adverb
interestedly,adverb
internally,adverb
intertwiningly,adverb
intrepidly,adverb
invalidly,adverb
invincibly,adverb
irascibly,adverb
irrecoverably,adverb
irreligiously,adverb
irrespective,adverb
isochronously,adverb
jabberingly,adverb
jeopardously,adverb
jokingly,adverb
judicially,adverb
just-in-time,adverb
kindly,adverb
knowledgeably,adverb
lamely,adverb
lankly,adverb
lastly,adverb
laughingly,adverb
least,adverb
leftwardly,adverb
lengthways,adverb
lethally,adverb
licht,adverb
light-heartedly,adverb
limply,adverb
listlessly,adverb
little,adverb
locally,adverb
long-ago,adverb
loosely,adverb
loungingly,adverb
lowest,adverb
luculently,adverb
lushly,adverb
macroscopically,adverb
mair,adverb
man-to-man,adverb
mannishly,adverb
massively,adverb
mawkishly,adverb
meaningly,adverb
medically,adverb
melodramatically,adverb
mercilessly,adverb
metabolically,adverb
metrically,adverb
mightily,adverb
mindfully,adverb
misapprehensively,adverb
mixedly,adverb
modulo,adverb
mongrelly,adverb
morbidly,adverb
mortally,adverb
mourningly,adverb
multifariously,adverb
murmurously,adverb
mutteringly,adverb
nakedly,adverb
natheless,adverb
nauseatingly,adverb
neatly,adverb
negatively,adverb
neurobiological,adverb
next-door,adverb
ninth,adverb
noiselessly,adverb
nonsensically,adverb
nosily,adverb
notoriously,adverb
nowise,adverb
nutritively,adverb
obligingly,adverb
obsessionally,adverb
occasionally,adverb
off,adverb
officiously,adverb
ominously,adverb
one-time,adverb
opaquely,adverb
oppressively,adverb
oratorically,adverb
ornately,adverb
otherwhere,adverb
outdoors,adverb
ovally,adverb
overhand,adverb
overrashly,adverb
painfully,adverb
palpably,adverb
parallelly,adverb
parentally,adverb
part-time,adverb
passionately,adverb
patiently,adverb
peaceably,adverb
peerlessly,adverb
penitentially,adverb
perchance,adverb
perfunctorily,adverb
permissibly,adverb
personally,adverb
perversely,adverb
petulantly,adverb
phonologically,adverb
phylogenetically,adverb
piercingly,adverb
piteously,adverb
placidly,adverb
pleasantly,adverb
pliantly,adverb
poco,adverb
politely,adverb
poorly,adverb
possibly,adverb
poutingly,adverb
prayerfully,adverb
precociously,adverb
preliminarily,adverb
preponderantly,adverb
prestissimo,adverb
pretty,adverb
primordially,adverb
probably,adverb
profitably,adverb
prominently,adverb
proper,adverb
proscriptively,adverb
provably,adverb
proximately,adverb
puffingly,adverb
punitively,adverb
purringly,adverb
quadrennially,adverb
quarterly,adverb
questioningly,adverb
quintessentially,adverb
radiantly,adverb
rancorously,adverb
raspingly,adverb
ravishingly,adverb
reasonably,adverb
recollectedly,adverb
redundantly,adverb
regally,adverb
relentlessly,adverb
remorsefully,adverb
repentantly,adverb
reproductively,adverb
resiliently,adverb
resourcefully,adverb
restrainedly,adverb
retractively,adverb
reverently,adverb
rhetorically,adverb
rightfully,adverb
riskily,adverb
romantically,adverb
round,adverb
ruddily,adverb
rurally,adverb
