word,pos,sub-type,franchise,sub-franchise,number,prep
The Age of Men,noun,event,Lord of the Rings,Lord of the Rings,singular,
the War of the Last Alliance,noun,event,Lord of the Rings,Lord of the Rings,singular,
the Siege of Osgiliath,noun,event,Lord of the Rings,Lord of the Rings,singular,
the Battle of Isengard,noun,event,Lord of the Rings,Lord of the Rings,singular,
the Destruction of Alderaan,noun,event,Star Wars,Star Wars Original Trilogy,singular,
the Clone Wars,noun,event,Star Wars,Star Wars Original Trilogy,plural,
the Battle of Yavin,noun,event,Star Wars,Star Wars Original Trilogy,singular,
the Battle of Hoth,noun,event,Star Wars,Star Wars Original Trilogy,singular,
the Battle of Endor,noun,event,Star Wars,Star Wars Original Trilogy,singular,
Second Impact,noun,event,Neon Genesis Evangelion,Neon Genesis Evangelion,singular,
the Battle of Helms Deep,noun,event ,Lord of the Rings,Lord of the Rings,singular,
The War of the Ring,noun,event ,Lord of the Rings,Lord of the Rings,singular,
Terra,noun,person,Final Fantasy,Final Fantasy VI,singular,
Locke,noun,person,Final Fantasy,Final Fantasy VI,singular,
Edgar,noun,person,Final Fantasy,Final Fantasy VI,singular,
Sabin,noun,person,Final Fantasy,Final Fantasy VI,singular,
Cyan,noun,person,Final Fantasy,Final Fantasy VI,singular,
Shadow,noun,person,Final Fantasy,Final Fantasy VI,singular,
Relm,noun,person,Final Fantasy,Final Fantasy VI,singular,
Strago,noun,person,Final Fantasy,Final Fantasy VI,singular,
Gau,noun,person,Final Fantasy,Final Fantasy VI,singular,
Celes,noun,person,Final Fantasy,Final Fantasy VI,singular,
Setzer,noun,person,Final Fantasy,Final Fantasy VI,singular,
Mog,noun,person,Final Fantasy,Final Fantasy VI,singular,
Gogo,noun,person,Final Fantasy,Final Fantasy VI,singular,
Umaro,noun,person,Final Fantasy,Final Fantasy VI,singular,
Cloud,noun,person,Final Fantasy,Final Fantasy VII,singular,
Tifa,noun,person,Final Fantasy,Final Fantasy VII,singular,
Barret,noun,person,Final Fantasy,Final Fantasy VII,singular,
Aeris,noun,person,Final Fantasy,Final Fantasy VII,singular,
Red XIII,noun,person,Final Fantasy,Final Fantasy VII,singular,
Cait Sith,noun,person,Final Fantasy,Final Fantasy VII,singular,
Cid,noun,person,Final Fantasy,Final Fantasy VII,singular,
Yuffie,noun,person,Final Fantasy,Final Fantasy VII,singular,
Vincent,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Squall,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Quistis,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Zell,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Selphie,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Rinoa,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Irvine,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Laguna,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Kiros,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Ward,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Edea,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Seifer,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Zidane,noun,person,Final Fantasy,Final Fantasy IX,singular,
Vivi,noun,person,Final Fantasy,Final Fantasy IX,singular,
Dagger,noun,person,Final Fantasy,Final Fantasy IX,singular,
Steiner,noun,person,Final Fantasy,Final Fantasy IX,singular,
Freya,noun,person,Final Fantasy,Final Fantasy IX,singular,
Quina,noun,person,Final Fantasy,Final Fantasy IX,singular,
Eiko,noun,person,Final Fantasy,Final Fantasy IX,singular,
Amarant,noun,person,Final Fantasy,Final Fantasy IX,singular,
Beatrix,noun,person,Final Fantasy,Final Fantasy IX,singular,
Blank,noun,person,Final Fantasy,Final Fantasy IX,singular,
Cinna,noun,person,Final Fantasy,Final Fantasy IX,singular,
Marcus ,noun,person,Final Fantasy,Final Fantasy IX,singular,
Tidus,noun,person,Final Fantasy,Final Fantasy X,singular,
Yuna,noun,person,Final Fantasy,Final Fantasy X,singular,
Auron,noun,person,Final Fantasy,Final Fantasy X,singular,
Kimahri Ronso,noun,person,Final Fantasy,Final Fantasy X,singular,
Wakka,noun,person,Final Fantasy,Final Fantasy X,singular,
Lulu,noun,person,Final Fantasy,Final Fantasy X,singular,
Rikku,noun,person,Final Fantasy,Final Fantasy X,singular,
Seymour Guado,noun,person,Final Fantasy,Final Fantasy X,singular,
Ramza,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Boco,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Mustadio,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Agrias,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Rapha,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Marach,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Count Cidolfus Orlandeau,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Meliadoul,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Ladd,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Lavian,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Alicia,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Beowulf,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Reis,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Construct 8,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Cloud,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Byblos,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Luso,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Balthier,noun,person,Final Fantasy,Final Fantasy Tactics,singular,
Kefka,noun,person,Final Fantasy,Final Fantasy VI,singular,
Behemoth King,noun,person,Final Fantasy,Final Fantasy VI,singular,
Omega Weapon,noun,person,Final Fantasy,Final Fantasy VI,singular,
Phantom Train,noun,person,Final Fantasy,Final Fantasy VI,singular,
Typhon,noun,person,Final Fantasy,Final Fantasy VI,singular,
Ultros,noun,person,Final Fantasy,Final Fantasy VI,singular,
Jenova,noun,person,Final Fantasy,Final Fantasy VII,singular,
Sephiroth,noun,person,Final Fantasy,Final Fantasy VII,singular,
Diamond Weapon,noun,person,Final Fantasy,Final Fantasy VII,singular,
Hojo,noun,person,Final Fantasy,Final Fantasy VII,singular,
Elena,noun,person,Final Fantasy,Final Fantasy VII,singular,
Reno,noun,person,Final Fantasy,Final Fantasy VII,singular,
Rude,noun,person,Final Fantasy,Final Fantasy VII,singular,
Rufus,noun,person,Final Fantasy,Final Fantasy VII,singular,
Ultimecia,noun,person,Final Fantasy,Final Fantasy VIII,singular,
X-ATM092,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Fujin,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Raijin,noun,person,Final Fantasy,Final Fantasy VIII,singular,
NORG,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Eden,noun,person,Final Fantasy,Final Fantasy VIII,singular,
Diablos,noun,person,Final Fantasy,Final Fantasy VIII,singular,
