word,pos,trans
annihilated,verb,yes
appropriated,verb,yes
ate,verb,no
ate,verb,yes
blasted,verb,yes
blinked,verb,no
bubbled up,verb,no
burped,verb,no
buzzed,verb,no
charged,verb,no
charged,verb,yes
composed,verb,yes
contained,verb,yes
cried,verb,no
cycled,verb,no
damned,verb,yes
decayed,verb,no
destroyed,verb,yes
detected,verb,yes
died,verb,no
disapproved,verb,no
disliked,verb,yes
ducked,verb,no
eschewed,verb,yes
excited,verb,yes
exercised,verb,no
exorcised,verb,yes
fell,verb,no
flashed,verb,yes
flashed,verb,no
flew,verb,no
flew,verb,yes
Force choked,verb,yes
frittered away,verb,yes
gave,verb,yes
gave up,verb,no
gave up,verb,yes
gazed upon,verb,yes
grabbed,verb,yes
greased,verb,yes
griped,verb,no
hummed,verb,no
hunted,verb,yes
impressed,verb,yes
injected,verb,yes
interrupted,verb,yes
jogged,verb,no
jumped,verb,no
jumped over,verb,yes
kicked,verb,yes
killed,verb,yes
laughed,verb,no
launched,verb,yes
levelled,verb,yes
liked,verb,yes
melted,verb,no
moved,verb,yes
needed,verb,yes
obeyed,verb,yes
offended,verb,yes
painted,verb,yes
picked up,verb,yes
poked,verb,yes
polished,verb,yes
poured,verb,yes
presented,verb,yes
pumped,verb,yes
punched,verb,yes
pushed,verb,yes
refused,verb,no
revived,verb,yes
ruined,verb,yes
satisfied,verb,yes
scanned,verb,yes
scattered,verb,yes
scolded,verb,yes
shot,verb,yes
slapped,verb,yes
sliced,verb,yes
sneezed,verb,no
snored,verb,no
sparked,verb,yes
spat,verb,no
sprayed,verb,yes
sprouted,verb,yes
squealed,verb,no
stabbed,verb,yes
stamped out,verb,yes
stepped on,verb,yes
supplied,verb,yes
tapped,verb,yes
terrified,verb,yes
threw,verb,yes
took,verb,yes
towed,verb,yes
tripped,verb,no
tripped,verb,yes
trotted,verb,no
tugged,verb,yes
tumbled,verb,no
vanished,verb,no
wandered,verb,no
wobbled,verb,no
woke up,verb,no
wondered,verb,no
wrestled,verb,yes
wriggled,verb,no
